Gene	Annotation_F	Isolates_F	Annotation_En	Isolates_En
uspA_3	Universal stress protein A	56	Universal stress protein A	63
ilvG	Acetolactate synthase isozyme 2 large subunit	56	Acetolactate synthase isozyme 2 large subunit	63
flaB	Flagellin B	56	Flagellin B	63
btsR_1	Transcriptional regulatory protein BtsR	56	Transcriptional regulatory protein BtsR	63
galE_2	UDP-glucose 4-epimerase	56	UDP-glucose 4-epimerase	63
manA_2	Mannose-6-phosphate isomerase	56	Mannose-6-phosphate isomerase	63
rluB	Ribosomal large subunit pseudouridine synthase B	56	Ribosomal large subunit pseudouridine synthase B	63
trpB_2	Tryptophan synthase beta chain	56	Tryptophan synthase beta chain	63
trpA	Tryptophan synthase alpha chain	56	Tryptophan synthase alpha chain	63
gltP_2	Proton/glutamate-aspartate symporter	56	Proton/glutamate-aspartate symporter	63
sdaC_1	Serine transporter	56	Serine transporter	63
maa_2	Maltose O-acetyltransferase	56	Maltose O-acetyltransferase	63
psuT	Putative pseudouridine transporter	56	Putative pseudouridine transporter	63
fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA	56	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA	63
astD	N-succinylglutamate 5-semialdehyde dehydrogenase	56	N-succinylglutamate 5-semialdehyde dehydrogenase	63
trpG	Anthranilate synthase component 2	56	Anthranilate synthase component 2	63
mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	56	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	63
prmA	Ribosomal protein L11 methyltransferase	56	Ribosomal protein L11 methyltransferase	63
aroQ1	3-dehydroquinate dehydratase 1	56	3-dehydroquinate dehydratase 1	63
actP	Cation/acetate symporter ActP	56	Cation/acetate symporter ActP	63
pyrP	Uracil permease	56	Uracil permease	63
purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase	56	Phosphoribosylaminoimidazole-succinocarboxamide synthase	63
xecA1	2-hydroxypropyl-CoM lyase	56	2-hydroxypropyl-CoM lyase	63
cheA	hypothetical protein	56	hypothetical protein	63
flhB_2	Flagellar biosynthetic protein FlhB	56	Flagellar biosynthetic protein FlhB	63
ntrC	Anaerobic nitric oxide reductase transcription regulator NorR	56	Anaerobic nitric oxide reductase transcription regulator NorR	63
pcnB	Poly(A) polymerase I	56	Poly(A) polymerase I	63
pgm_1	Phosphoglucomutase	56	Phosphoglucomutase	63
glpT	Glycerol-3-phosphate transporter	56	Glycerol-3-phosphate transporter	63
glpK	Glycerol kinase	56	Glycerol kinase	63
glpD	Aerobic glycerol-3-phosphate dehydrogenase	56	Aerobic glycerol-3-phosphate dehydrogenase	63
argT	Lysine/arginine/ornithine-binding periplasmic protein	56	Lysine/arginine/ornithine-binding periplasmic protein	63
hisM	Histidine transport system permease protein HisM	56	Histidine transport system permease protein HisM	63
fadJ	Fatty acid oxidation complex subunit alpha	56	Fatty acid oxidation complex subunit alpha	63
prmB	50S ribosomal protein L3 glutamine methyltransferase	56	50S ribosomal protein L3 glutamine methyltransferase	63
fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	56	3-oxoacyl-[acyl-carrier-protein] synthase 1	63
chbP	N,N'-diacetylchitobiose phosphorylase	56	N,N'-diacetylchitobiose phosphorylase	63
exoI	Beta-hexosaminidase	56	Beta-hexosaminidase	63
oppB_3	Oligopeptide transport system permease protein OppB	56	Oligopeptide transport system permease protein OppB	63
todS	Sensor histidine kinase RcsC	56	Sensor histidine kinase RcsC	63
tyrS_2	Tyrosine--tRNA ligase	56	Tyrosine--tRNA ligase	63
fabV_1	Enoyl-[acyl-carrier-protein] reductase [NADH]	56	Trans-2-enoyl-CoA reductase [NADH]	63
radD	Putative DNA repair helicase RadD	56	Putative DNA repair helicase RadD	63
rplY	50S ribosomal protein L25	56	50S ribosomal protein L25	63
napA	Periplasmic nitrate reductase	56	Periplasmic nitrate reductase	63
mreC	Cell shape-determining protein MreC	56	Cell shape-determining protein MreC	63
potE	Putrescine transporter PotE	56	Putrescine transporter PotE	63
kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	56	2-dehydro-3-deoxyphosphooctonate aldolase	63
hemA	Glutamyl-tRNA reductase	56	Glutamyl-tRNA reductase	63
plsX	Phosphate acyltransferase	56	Phosphate acyltransferase	63
bicA_1	Bicarbonate transporter BicA	56	Bicarbonate transporter BicA	63
napA_3	Periplasmic nitrate reductase	56	Periplasmic nitrate reductase	63
pheA	Bifunctional chorismate mutase/prephenate dehydratase	56	Bifunctional chorismate mutase/prephenate dehydratase	63
ettA	Energy-dependent translational throttle protein EttA	56	Energy-dependent translational throttle protein EttA	63
tupA	Tungstate-binding protein TupA	56	Tungstate-binding protein TupA	63
lptB_2	Lipopolysaccharide export system ATP-binding protein LptB	56	Lipopolysaccharide export system ATP-binding protein LptB	63
mobA	Molybdenum cofactor guanylyltransferase	56	Molybdenum cofactor guanylyltransferase	63
nqrB	Na( )-translocating NADH-quinone reductase subunit B	56	Na( )-translocating NADH-quinone reductase subunit B	63
rnfE	Ion-translocating oxidoreductase complex subunit E	56	Ion-translocating oxidoreductase complex subunit E	63
argG	Argininosuccinate synthase	56	Argininosuccinate synthase	63
PGdx_2	Hybrid peroxiredoxin hyPrx5	56	hypothetical protein	63
pilQ	Type IV pilus biogenesis and competence protein PilQ	56	Type IV pilus biogenesis and competence protein PilQ	63
rpsF	30S ribosomal protein S6	56	30S ribosomal protein S6	63
dnaB	Replicative DNA helicase	56	Replicative DNA helicase	63
group_3828	hypothetical protein	56	hypothetical protein	63
proA	Gamma-glutamyl phosphate reductase	56	Gamma-glutamyl phosphate reductase	63
xseB	Exodeoxyribonuclease 7 small subunit	56	Exodeoxyribonuclease 7 small subunit	63
pgm_2	Phosphoglucomutase	56	Phosphoglucomutase	63
flgC_1	Flagellar basal-body rod protein FlgC	56	Flagellar basal-body rod protein FlgC	63
apt	Adenine phosphoribosyltransferase	56	Adenine phosphoribosyltransferase	63
deoR	Deoxyribonucleoside regulator	56	Deoxyribonucleoside regulator	63
pyrH	Uridylate kinase	56	Uridylate kinase	63
skp	hypothetical protein	56	hypothetical protein	63
dacA_3	D-alanyl-D-alanine carboxypeptidase DacA	56	D-alanyl-D-alanine carboxypeptidase DacA	63
purR	HTH-type transcriptional repressor PurR	56	HTH-type transcriptional repressor PurR	63
torR	TorCAD operon transcriptional regulatory protein TorR	56	TorCAD operon transcriptional regulatory protein TorR	63
argP	HTH-type transcriptional regulator ArgP	56	HTH-type transcriptional regulator ArgP	63
sdhE	FAD assembly factor SdhE	56	FAD assembly factor SdhE	63
gmhB	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	56	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	63
rlmM	Ribosomal RNA large subunit methyltransferase M	56	Ribosomal RNA large subunit methyltransferase M	63
mukF	Chromosome partition protein MukF	56	Chromosome partition protein MukF	63
mukE	Chromosome partition protein MukE	56	Chromosome partition protein MukE	63
djlA	Co-chaperone protein DjlA	56	Co-chaperone protein DjlA	63
yijD	Inner membrane protein YijD	56	Inner membrane protein YijD	63
lexA	LexA repressor	56	LexA repressor	63
plsB	Glycerol-3-phosphate acyltransferase	56	Glycerol-3-phosphate acyltransferase	63
rpsA	30S ribosomal protein S1	56	30S ribosomal protein S1	63
alaA	Glutamate-pyruvate aminotransferase AlaA	56	Glutamate-pyruvate aminotransferase AlaA	63
lptF	Lipopolysaccharide export system permease protein LptF	56	Lipopolysaccharide export system permease protein LptF	63
fumA	Fumarate hydratase class I, aerobic	56	Fumarate hydratase class I, aerobic	63
cmoA	Carboxy-S-adenosyl-L-methionine synthase	56	Carboxy-S-adenosyl-L-methionine synthase	63
cydB	Cytochrome bd-I ubiquinol oxidase subunit 2	56	Cytochrome bd-I ubiquinol oxidase subunit 2	63
tolB	Tol-Pal system protein TolB	56	Tol-Pal system protein TolB	63
gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P) ]	56	Glycerol-3-phosphate dehydrogenase [NAD(P) ]	63
dppC_2	Dipeptide transport system permease protein DppC	56	Dipeptide transport system permease protein DppC	63
fliF_1	hypothetical protein	56	Flagellar M-ring protein	63
lafT	Chemotaxis protein LafT	56	Chemotaxis protein LafT	63
cysL	HTH-type transcriptional regulator CysL	56	HTH-type transcriptional regulator CysL	63
rnhB	Ribonuclease HII	56	Ribonuclease HII	63
yejB	Inner membrane ABC transporter permease protein YejB	56	Inner membrane ABC transporter permease protein YejB	63
xerD_1	Tyrosine recombinase XerD	56	Tyrosine recombinase XerD	63
srmB_2	ATP-dependent RNA helicase SrmB	56	ATP-dependent RNA helicase SrmB	63
fadH	2,4-dienoyl-CoA reductase	56	2,4-dienoyl-CoA reductase	63
rbsC	Ribose import permease protein RbsC	56	Ribose import permease protein RbsC	63
epsF_1	Type II secretion system protein F	56	Type II secretion system protein F	63
satP	Succinate-acetate/proton symporter SatP	56	Succinate-acetate/proton symporter SatP	63
ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	56	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	63
pepB	Peptidase B	56	Peptidase B	63
fdx	2Fe-2S ferredoxin	56	2Fe-2S ferredoxin	63
iscR	HTH-type transcriptional regulator IscR	56	HTH-type transcriptional regulator IscR	63
suhB	Inositol-1-monophosphatase	56	Inositol-1-monophosphatase	63
flgI_2	Flagellar P-ring protein	56	Flagellar P-ring protein	63
flgH_2	Flagellar L-ring protein	56	Flagellar L-ring protein	63
cheR1	Chemotaxis protein methyltransferase 1	56	Chemotaxis protein methyltransferase 1	63
fadA	3-ketoacyl-CoA thiolase	56	3-ketoacyl-CoA thiolase	63
mneA	Putative manganese exporter	56	Putative manganese exporter	63
lolE	Lipoprotein-releasing system transmembrane protein LolE	56	Lipoprotein-releasing system transmembrane protein LolE	63
lolC	Lipoprotein-releasing system transmembrane protein LolC	56	Lipoprotein-releasing system transmembrane protein LolC	63
cysC	Adenylyl-sulfate kinase	56	Adenylyl-sulfate kinase	63
ubiX	Flavin prenyltransferase UbiX	56	Flavin prenyltransferase UbiX	63
focA_1	putative formate transporter 1	56	putative formate transporter 1	63
ppiB_1	Peptidyl-prolyl cis-trans isomerase B	56	Peptidyl-prolyl cis-trans isomerase B	63
hisD	Histidinol dehydrogenase	56	Histidinol dehydrogenase	63
ileS	Isoleucine--tRNA ligase	56	Isoleucine--tRNA ligase	63
dcuB	Anaerobic C4-dicarboxylate transporter DcuB	56	Anaerobic C4-dicarboxylate transporter DcuB	63
focA_2	putative formate transporter 1	56	putative formate transporter 1	63
gltP_1	Proton/glutamate-aspartate symporter	56	Proton/glutamate-aspartate symporter	63
rimO	hypothetical protein	56	hypothetical protein	63
cysK_2	Cysteine synthase A	56	Cysteine synthase A	63
malQ	4-alpha-glucanotransferase	56	4-alpha-glucanotransferase	63
rpsC	30S ribosomal protein S3	56	30S ribosomal protein S3	63
mnmA	tRNA-specific 2-thiouridylase MnmA	56	tRNA-specific 2-thiouridylase MnmA	63
ansA	L-asparaginase 1	56	L-asparaginase 1	63
rpoA	DNA-directed RNA polymerase subunit alpha	56	DNA-directed RNA polymerase subunit alpha	63
mcpP_1	hypothetical protein	56	hypothetical protein	63
prlC	Oligopeptidase A	56	Oligopeptidase A	63
add	Adenosine deaminase	56	Adenosine deaminase	63
phoU	Phosphate-specific transport system accessory protein PhoU	56	Phosphate-specific transport system accessory protein PhoU	63
trkI	Trk system potassium uptake protein TrkI	56	Trk system potassium uptake protein TrkI	63
def1	Peptide deformylase 1	56	Peptide deformylase 1	63
purE	N5-carboxyaminoimidazole ribonucleotide mutase	56	N5-carboxyaminoimidazole ribonucleotide mutase	63
ompR_2	Transcriptional regulatory protein OmpR	56	Transcriptional regulatory protein OmpR	63
endo I	Chitodextrinase	56	Chitodextrinase	63
mprA_4	hypothetical protein	56	hypothetical protein	63
gcvT	Aminomethyltransferase	56	Aminomethyltransferase	63
nagB	Glucosamine-6-phosphate deaminase	56	Glucosamine-6-phosphate deaminase	63
ccmC	Heme exporter protein C	56	Heme exporter protein C	63
ccmB	Heme exporter protein B	56	Heme exporter protein B	63
ccmA	Cytochrome c biogenesis ATP-binding export protein CcmA	56	Cytochrome c biogenesis ATP-binding export protein CcmA	63
cheB1	Protein-glutamate methylesterase/protein-glutamine glutaminase 1	56	Protein-glutamate methylesterase/protein-glutamine glutaminase 1	63
yxeO	putative amino-acid import ATP-binding protein YxeO	56	putative amino-acid import ATP-binding protein YxeO	63
recF	DNA replication and repair protein RecF	56	DNA replication and repair protein RecF	63
rsmD	Ribosomal RNA small subunit methyltransferase D	56	Ribosomal RNA small subunit methyltransferase D	63
secD_1	Protein translocase subunit SecD	56	Protein translocase subunit SecD	63
dapF	Diaminopimelate epimerase	56	Diaminopimelate epimerase	63
rraB	Regulator of ribonuclease activity B	56	Regulator of ribonuclease activity B	63
argF	Ornithine carbamoyltransferase	56	Ornithine carbamoyltransferase	63
yrbG	Inner membrane protein YrbG	56	Inner membrane protein YrbG	63
ubiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	56	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	63
sdhC	Succinate dehydrogenase cytochrome b556 subunit	56	Succinate dehydrogenase cytochrome b556 subunit	63
speA	Biosynthetic arginine decarboxylase	56	Biosynthetic arginine decarboxylase	63
hldE	Bifunctional protein HldE	56	Bifunctional protein HldE	63
typA	GTP-binding protein TypA/BipA	56	GTP-binding protein TypA/BipA	63
yhhQ	Queuosine precursor transporter	56	Queuosine precursor transporter	63
yaaA	Peroxide stress resistance protein YaaA	56	Peroxide stress resistance protein YaaA	63
alsT_2	Amino-acid carrier protein AlsT	56	Amino-acid carrier protein AlsT	63
ftnA	putative bacterial non-heme ferritin	56	putative bacterial non-heme ferritin	63
ilvE	Branched-chain-amino-acid aminotransferase	56	Branched-chain-amino-acid aminotransferase	63
rhlB	ATP-dependent RNA helicase RhlB	56	ATP-dependent RNA helicase RhlB	63
pdxJ	Pyridoxine 5'-phosphate synthase	56	Pyridoxine 5'-phosphate synthase	63
trmD	tRNA (guanine-N(1)-)-methyltransferase	56	tRNA (guanine-N(1)-)-methyltransferase	63
proS	Proline--tRNA ligase	56	Proline--tRNA ligase	63
cheV_1	Chemotaxis protein CheV	56	Chemotaxis protein CheV	63
ubiG	Ubiquinone biosynthesis O-methyltransferase	56	Ubiquinone biosynthesis O-methyltransferase	63
rpsG	30S ribosomal protein S7	56	30S ribosomal protein S7	63
rpsL	30S ribosomal protein S12	56	30S ribosomal protein S12	63
arcA_1	Aerobic respiration control protein ArcA	56	Aerobic respiration control protein ArcA	63
narL_2	putative transcriptional regulatory protein NarL	56	putative transcriptional regulatory protein NarL	63
ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	56	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	63
purM	Phosphoribosylformylglycinamidine cyclo-ligase	56	Phosphoribosylformylglycinamidine cyclo-ligase	63
upp	Uracil phosphoribosyltransferase	56	Uracil phosphoribosyltransferase	63
group_5281	hypothetical protein	56	hypothetical protein	63
rbsA	Ribose import ATP-binding protein RbsA	56	Ribose import ATP-binding protein RbsA	63
fliA	RNA polymerase sigma factor FliA	56	RNA polymerase sigma factor FliA	63
ylxH	Flagellum site-determining protein YlxH	56	Flagellum site-determining protein YlxH	63
fliI_2	Flagellum-specific ATP synthase	56	Flagellum-specific ATP synthase	63
fliS_2	Flagellar secretion chaperone FliS	56	Flagellar secretion chaperone FliS	63
luxR	HTH-type transcriptional regulator LuxR	56	HTH-type transcriptional regulator LuxR	63
panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	56	3-methyl-2-oxobutanoate hydroxymethyltransferase	63
glpF	Glycerol uptake facilitator protein	56	Glycerol uptake facilitator protein	63
fadI	3-ketoacyl-CoA thiolase FadI	56	3-ketoacyl-CoA thiolase FadI	63
accD_2	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	56	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	63
ssb	Single-stranded DNA-binding protein	56	Single-stranded DNA-binding protein	63
epsF_3	Type II secretion system protein F	56	Type II secretion system protein F	63
erpA	Iron-sulfur cluster insertion protein ErpA	56	Iron-sulfur cluster insertion protein ErpA	63
group_5353	putative ABC transporter ATP-binding protein	56	hypothetical protein	63
mprA_1	Response regulator MprA	56	Response regulator MprA	63
lptA	Lipopolysaccharide export system protein LptA	56	Lipopolysaccharide export system protein LptA	63
lptB_3	Lipopolysaccharide export system ATP-binding protein LptB	56	Lipopolysaccharide export system ATP-binding protein LptB	63
mreD	Rod shape-determining protein MreD	56	Rod shape-determining protein MreD	63
ybhS	putative multidrug ABC transporter permease YbhS	56	putative multidrug ABC transporter permease YbhS	63
pth	Peptidyl-tRNA hydrolase	56	Peptidyl-tRNA hydrolase	63
fabH1	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1	56	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1	63
raiA	Ribosome-associated inhibitor A	56	Ribosome-associated inhibitor A	63
luxO_2	Luminescence regulatory protein LuxO	56	Luminescence regulatory protein LuxO	63
uvrB	UvrABC system protein B	56	UvrABC system protein B	63
nth	Endonuclease III	56	Endonuclease III	63
pomA	Chemotaxis protein PomA	56	Chemotaxis protein PomA	63
nagC	N-acetylglucosamine repressor	56	N-acetylglucosamine repressor	63
flgG_1	Flagellar basal-body rod protein FlgG	56	Flagellar basal-body rod protein FlgG	63
recR	Recombination protein RecR	56	Recombination protein RecR	63
frr	Ribosome-recycling factor	56	Ribosome-recycling factor	63
rlmH	Ribosomal RNA large subunit methyltransferase H	56	Ribosomal RNA large subunit methyltransferase H	63
rsfS	Ribosomal silencing factor RsfS	56	Ribosomal silencing factor RsfS	63
leuO_7	HTH-type transcriptional regulator LeuO	56	HTH-type transcriptional regulator LeuO	63
leuC	3-isopropylmalate dehydratase large subunit	56	3-isopropylmalate dehydratase large subunit	63
ydjZ	TVP38/TMEM64 family inner membrane protein YdjZ	56	TVP38/TMEM64 family inner membrane protein YdjZ	63
mlc	Protein mlc	56	Protein mlc	63
