Gene	Annotation_En	Isolates_En
slmA	Nucleoid occlusion factor SlmA	63
panP	Aspartate 1-decarboxylase	63
yfcA_1	putative membrane transporter protein YfcA	63
gsk_2	Inosine-guanosine kinase	63
nqrC	Na( )-translocating NADH-quinone reductase subunit C	63
ribBA	Riboflavin biosynthesis protein RibBA	63
ychF	Ribosome-binding ATPase YchF	63
group_18130	hypothetical protein	63
plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	63
flgD_1	hypothetical protein	63
lptC	Lipopolysaccharide export system protein LptC	63
rimM	Ribosome maturation factor RimM	63
yflS	Putative malate transporter YflS	63
group_18136	hypothetical protein	63
mlaE	Intermembrane phospholipid transport system permease protein MlaE	63
rnfG	Ion-translocating oxidoreductase complex subunit G	63
group_18139	hypothetical protein	63
group_18143	hypothetical protein	63
group_18145	hypothetical protein	63
group_18146	hypothetical protein	63
group_18147	putative acyl-CoA thioester hydrolase	63
miaA	tRNA dimethylallyltransferase	63
mscS	Small-conductance mechanosensitive channel	63
yadG	putative ABC transporter ATP-binding protein YadG	63
group_18155	hypothetical protein	63
aspA_2	Aspartate ammonia-lyase	63
dapE	Succinyl-diaminopimelate desuccinylase	63
rseB	Sigma-E factor regulatory protein RseB	63
group_18163	tRNA-Trp(cca)	63
podJ	hypothetical protein	63
group_18172	Purine nucleoside phosphoramidase	63
secF_1	Protein translocase subunit SecF	63
yidZ_6	HTH-type transcriptional regulator YidZ	63
group_18176	hypothetical protein	63
group_18178	hypothetical protein	63
atpD	ATP synthase subunit beta	63
mrcA	Penicillin-binding protein 1A	63
ctaB	Protoheme IX farnesyltransferase	63
fliN	Flagellar motor switch protein FliN	63
group_18184	hypothetical protein	63
ppaC_1	putative manganese-dependent inorganic pyrophosphatase	63
pitA	hypothetical protein	63
lpdA	Dihydrolipoyl dehydrogenase	63
bepA_3	Beta-barrel assembly-enhancing protease	63
bepA_1	Beta-barrel assembly-enhancing protease	63
group_1819	hypothetical protein	63
yhaJ_2	HTH-type transcriptional regulator YhaJ	63
glaR	HTH-type transcriptional repressor GlaR	63
dmlR_9	HTH-type transcriptional regulator DmlR	63
group_18210	putative ABC transporter ATP-binding protein	63
gmk	Guanylate kinase	63
uspF	Universal stress protein F	63
aceA	Isocitrate lyase	63
cpxA	Sensor histidine kinase CpxA	63
group_18224	hypothetical protein	63
group_18225	hypothetical protein	63
cyaA	Adenylate cyclase	63
group_18227	hypothetical protein	63
rplO	50S ribosomal protein L15	63
yejE	Inner membrane ABC transporter permease protein YejE	63
group_18232	hypothetical protein	63
fliE_1	Flagellar hook-basal body complex protein FliE	63
group_18234	hypothetical protein	63
lpoA	Penicillin-binding protein activator LpoA	63
dctP	C4-dicarboxylate-binding periplasmic protein DctP	63
mgtC	hypothetical protein	63
group_18238	hypothetical protein	63
rpiA	Ribose-5-phosphate isomerase A	63
rseP	Regulator of sigma-E protease RseP	63
plsY	putative glycerol-3-phosphate acyltransferase	63
group_18246	hypothetical protein	63
yggS	Pyridoxal phosphate homeostasis protein	63
group_18249	Outer membrane protein A	63
rarD_2	Protein RarD	63
metI	D-methionine transport system permease protein MetI	63
group_18254	hypothetical protein	63
ycfS	putative L,D-transpeptidase YcfS	63
group_18258	hypothetical protein	63
pflB	Formate acetyltransferase 1	63
group_18262	hypothetical protein	63
corC	Magnesium and cobalt efflux protein CorC	63
group_18264	putative signaling protein	63
sixA	Phosphohistidine phosphatase SixA	63
purK	N5-carboxyaminoimidazole ribonucleotide synthase	63
trxB	Thioredoxin reductase	63
gntR_2	HTH-type transcriptional regulator GntR	63
serS	Serine--tRNA ligase	63
pncB	Nicotinate phosphoribosyltransferase	63
sspA_2	Stringent starvation protein A	63
rarA	Replication-associated recombination protein A	63
ycaD	putative MFS-type transporter YcaD	63
trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	63
group_18295	hypothetical protein	63
tig	Trigger factor	63
soj_1	Sporulation initiation inhibitor protein Soj	63
yeiP	Elongation factor P-like protein	63
group_18299	tRNA-Cys(gca)	63
mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase	63
can	Carbonic anhydrase 2	63
flgF_1	Flagellar basal-body rod protein FlgF	63
dld	Quinone-dependent D-lactate dehydrogenase	63
rnhA	Ribonuclease HI	63
petC	Ammonia monooxygenase gamma subunit	63
group_18311	hypothetical protein	63
kbl	2-amino-3-ketobutyrate coenzyme A ligase	63
epsF_2	Type II secretion system protein F	63
dsbA_2	Thiol:disulfide interchange protein DsbA	63
malF	Maltose/maltodextrin transport system permease protein MalF	63
flhA_1	Flagellar biosynthesis protein FlhA	63
napB	hypothetical protein	63
rimK_1	hypothetical protein	63
zntB	Zinc transport protein ZntB	63
czcA_3	Cobalt-zinc-cadmium resistance protein CzcA	63
zapA	Cell division protein ZapA	63
sthA	Soluble pyridine nucleotide transhydrogenase	63
barA	Signal transduction histidine-protein kinase BarA	63
lolB	Outer-membrane lipoprotein LolB	63
group_18357	hypothetical protein	63
group_18358	hypothetical protein	63
group_18359	hypothetical protein	63
dadA	hypothetical protein	63
yciO	putative protein YciO	63
gloB	Hydroxyacylglutathione hydrolase GloB	63
ktrA_1	Ktr system potassium uptake protein A	63
modB	Molybdenum transport system permease protein ModB	63
lolD_2	Lipoprotein-releasing system ATP-binding protein LolD	63
yajC	Sec translocon accessory complex subunit YajC	63
yadH	Inner membrane transport permease YadH	63
group_18372	hypothetical protein	63
petA	Ubiquinol-cytochrome c reductase iron-sulfur subunit	63
hslV	ATP-dependent protease subunit HslV	63
yttP	hypothetical protein	63
bigR	Biofilm growth-associated repressor	63
pyrB	Aspartate carbamoyltransferase	63
tupB	Tungstate uptake system permease protein TupB	63
cc4	Cytochrome c4	63
yibN	putative protein YibN	63
tadA_1	hypothetical protein	63
nfuA	Fe/S biogenesis protein NfuA	63
atpC	ATP synthase epsilon chain	63
rpe	Ribulose-phosphate 3-epimerase	63
ycf3	Photosystem I assembly protein Ycf3	63
cdpA	Cyclic di-GMP phosphodiesterase CdpA	63
fabD	Malonyl CoA-acyl carrier protein transacylase	63
group_18395	hypothetical protein	63
sdcS_1	Sodium-dependent dicarboxylate transporter SdcS	63
cpxR_2	Transcriptional regulatory protein CpxR	63
zur	Zinc uptake regulation protein	63
argA	Amino-acid acetyltransferase	63
fliG_1	Flagellar motor switch protein FliG	63
mcpQ_6	hypothetical protein	63
group_18408	C4-dicarboxylate TRAP transporter large permease protein DctM	63
envZ	Osmolarity sensor protein EnvZ	63
metK	S-adenosylmethionine synthase	63
group_18413	hypothetical protein	63
ompL	Porin-like protein L	63
IMPDH_2	Inosine-5'-monophosphate dehydrogenase	63
speB	Agmatinase	63
oppF_4	Oligopeptide transport ATP-binding protein OppF	63
prfA	Peptide chain release factor RF1	63
vdcA_5	hypothetical protein	63
rho	Transcription termination factor Rho	63
epsG	Type II secretion system protein G	63
dsbL	hypothetical protein	63
putP	High-affinity proline transporter PutP	63
group_18462	hypothetical protein	63
metC	Cystathionine beta-lyase MetC	63
phnR_2	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons	63
hslJ	Heat shock protein HslJ	63
sodB	Superoxide dismutase [Fe]	63
phaA	Acetyl-CoA acetyltransferase	63
group_18473	hypothetical protein	63
ygiF	Inorganic triphosphatase	63
recQ	ATP-dependent DNA helicase RecQ	63
asnC	Regulatory protein AsnC	63
cstA	Peptide transporter CstA	63
bamB	Outer membrane protein assembly factor BamB	63
lldD	L-lactate dehydrogenase	63
group_18485	Glycine betaine transporter 2	63
clcA	H( )/Cl(-) exchange transporter ClcA	63
group_1851	hypothetical protein	63
aroK	Shikimate kinase 1	63
gcvR	Glycine cleavage system transcriptional repressor	63
group_18541	hypothetical protein	63
appA	hypothetical protein	63
epsC	Type II secretion system protein C	63
puuR_1	hypothetical protein	63
group_18546	hypothetical protein	63
group_18547	hypothetical protein	63
fecC	Fe(3 ) dicitrate transport system permease protein FecC	63
apbE	FAD:protein FMN transferase	63
moaB	Molybdenum cofactor biosynthesis protein B	63
group_18552	hypothetical protein	63
pdeB	hypothetical protein	63
malK	Maltose/maltodextrin import ATP-binding protein MalK	63
acrB	Multidrug efflux pump subunit AcrB	63
rlhA	23S rRNA 5-hydroxycytidine synthase	63
ppk	Polyphosphate kinase	63
rlmB_2	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	63
ftsZ	Cell division protein FtsZ	63
yffB	Protein YffB	63
fabF_3	3-oxoacyl-[acyl-carrier-protein] synthase 2	63
hflX	GTPase HflX	63
rplD	50S ribosomal protein L4	63
fbaA	Fructose-bisphosphate aldolase class 2	63
group_18575	hypothetical protein	63
gspK_1	Putative type II secretion system protein K	63
group_18580	hypothetical protein	63
ktrA_2	Ktr system potassium uptake protein A	63
atoC_3	Regulatory protein AtoC	63
group_18586	hypothetical protein	63
group_18589	hypothetical protein	63
group_1859	putative sugar-binding periplasmic protein	63
rhtB_5	Homoserine/homoserine lactone efflux protein	63
nsrR	HTH-type transcriptional repressor NsrR	63
glnA	Glutamine synthetase	63
yibL	putative protein YibL	63
gph_2	Phosphoglycolate phosphatase	63
eptA	Phosphoethanolamine transferase EptA	63
nreC	Oxygen regulatory protein NreC	63
gtaB_2	UTP--glucose-1-phosphate uridylyltransferase	63
hslR	Heat shock protein 15	63
trmJ	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	63
seqA	Negative modulator of initiation of replication	63
metQ_2	D-methionine-binding lipoprotein MetQ	63
bepG	Efflux pump membrane transporter BepG	63
group_18607	hypothetical protein	63
degP	Periplasmic serine endoprotease DegP	63
pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	63
groL_1	60 kDa chaperonin	63
ttgW	hypothetical protein	63
glgC_1	Glucose-1-phosphate adenylyltransferase	63
group_18618	Thermolabile hemolysin	63
vdcA_3	hypothetical protein	63
trkA	Trk system potassium uptake protein TrkA	63
ypjD	Inner membrane protein YpjD	63
rpsD	30S ribosomal protein S4	63
walR	Transcriptional regulatory protein WalR	63
pcm	Protein-L-isoaspartate O-methyltransferase	63
folK_2	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	63
pdeK	hypothetical protein	63
nemR	HTH-type transcriptional repressor NemR	63
yhjX_2	L-lactate transporter	63
hexR	HTH-type transcriptional regulator HexR	63
group_18638	tRNA-Gly(gcc)	63
norG_1	HTH-type transcriptional regulator NorG	63
bamC	Outer membrane protein assembly factor BamC	63
group_18654	hypothetical protein	63
group_18655	hypothetical protein	63
group_18656	hypothetical protein	63
adk	Adenylate kinase	63
group_18661	tRNA-Asp(gtc)	63
cyaY	Iron-sulfur cluster assembly protein CyaY	63
group_18685	hypothetical protein	63
mcpQ_5	hypothetical protein	63
mexA	Multidrug resistance protein MexA	63
zraR_2	Anaerobic nitric oxide reductase transcription regulator NorR	63
pntA	NAD(P) transhydrogenase subunit alpha	63
fan1	Fanconi-associated nuclease 1 	63
group_18703	hypothetical protein	63
flgB_2	Flagellar basal body rod protein FlgB	63
group_18705	hypothetical protein	63
argO	Arginine exporter protein ArgO	63
yhcB	Inner membrane protein YhcB	63
group_18709	hypothetical protein	63
group_18713	hypothetical protein	63
bvgA	Virulence factors putative positive transcription regulator BvgA	63
pctB_4	Methyl-accepting chemotaxis protein PctB	63
group_18718	hypothetical protein	63
rsmE	Ribosomal RNA small subunit methyltransferase E	63
group_18721	hypothetical protein	63
radA	DNA repair protein RadA	63
group_18725	hypothetical protein	63
group_18727	hypothetical protein	63
cheZ	Protein phosphatase CheZ	63
ulaC_1	Ascorbate-specific PTS system EIIA component	63
gltS_1	Sodium/glutamate symporter	63
nusB	Transcription antitermination protein NusB	63
group_18733	hypothetical protein	63
group_18734	tRNA-Cys(gca)	63
rplQ	50S ribosomal protein L17	63
groL_2	60 kDa chaperonin	63
group_18750	hypothetical protein	63
aqpZ	Aquaporin Z	63
gloA_2	Lactoylglutathione lyase	63
mepA_1	Multidrug export protein MepA	63
petF1	Ferredoxin-1	63
group_18757	hypothetical protein	63
group_18759	hypothetical protein	63
spy	hypothetical protein	63
metN	Methionine import ATP-binding protein MetN	63
fdhD_2	Sulfur carrier protein FdhD	63
psd	Phosphatidylserine decarboxylase proenzyme	63
gpt	Xanthine phosphoribosyltransferase	63
group_18766	hypothetical protein	63
group_18767	hypothetical protein	63
group_18770	hypothetical protein	63
group_18772	hypothetical protein	63
group_18773	hypothetical protein	63
rpfC	Adaptive-response sensory-kinase SasA	63
dsbE_2	Thiol:disulfide interchange protein DsbE	63
moaD	Molybdopterin synthase sulfur carrier subunit	63
group_18779	hypothetical protein	63
prmC	Release factor glutamine methyltransferase	63
yqgF	Putative pre-16S rRNA nuclease	63
ispA	Farnesyl diphosphate synthase	63
outO	Type 4 prepilin-like proteins leader peptide-processing enzyme	63
ascD	hypothetical protein	63
ompA_5	Outer membrane protein A	63
ruvB	Holliday junction ATP-dependent DNA helicase RuvB	63
slyB_1	hypothetical protein	63
group_18793	hypothetical protein	63
flgK_1	hypothetical protein	63
vdcA_2	hypothetical protein	63
alaS	Alanine--tRNA ligase	63
ilvI	Acetolactate synthase isozyme 3 large subunit	63
group_18801	hypothetical protein	63
group_18802	hypothetical protein	63
group_18803	hypothetical protein	63
elbB	Glyoxalase ElbB	63
cytR_1	HTH-type transcriptional repressor CytR	63
group_18807	hypothetical protein	63
group_18808	hypothetical protein	63
melR_1	Melibiose operon regulatory protein	63
group_18810	hypothetical protein	63
group_18812	hypothetical protein	63
yusO	hypothetical protein	63
group_18814	hypothetical protein	63
group_18815	hypothetical protein	63
yclP	Petrobactin import ATP-binding protein YclP	63
ybiT_1	putative ABC transporter ATP-binding protein YbiT	63
group_18819	hypothetical protein	63
group_18821	hypothetical protein	63
ilvH	Acetolactate synthase isozyme 3 small subunit	63
aspA_1	Microbial serine proteinase	63
group_18824	hypothetical protein	63
cpdA	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	63
ogt	Methylated-DNA--protein-cysteine methyltransferase	63
uhpA	Transcriptional regulatory protein UhpA	63
rnr_2	Ribonuclease R	63
flhB_1	Flagellar biosynthetic protein FlhB	63
pgrR_2	HTH-type transcriptional regulator PgrR	63
norM_2	Multidrug resistance protein NorM	63
tusA	Sulfur carrier protein TusA	63
group_18839	hypothetical protein	63
group_18840	Long-chain-fatty-acid--CoA ligase FadD15	63
yqeY	putative protein YqeY	63
purA_1	Adenylosuccinate synthetase	63
tcdA	tRNA threonylcarbamoyladenosine dehydratase	63
yejM_1	Inner membrane protein YejM	63
aas	Bifunctional protein Aas	63
group_18847	Epimerase family protein	63
dgcQ_1	hypothetical protein	63
ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	63
group_18850	Methyl-accepting chemotaxis protein PctB	63
fadR	Fatty acid metabolism regulator protein	63
group_18853	hypothetical protein	63
group_18854	hypothetical protein	63
folE	GTP cyclohydrolase 1	63
valS	Valine--tRNA ligase	63
group_18859	hypothetical protein	63
ushA_2	Protein UshA	63
group_18861	hypothetical protein	63
mcpQ_2	hypothetical protein	63
ydiK_1	Putative transport protein YdiK	63
ppa	Inorganic pyrophosphatase	63
ftsI	Peptidoglycan D,D-transpeptidase FtsI	63
hlyC	Triacylglycerol lipase	63
thiI	tRNA sulfurtransferase	63
rnfD	Ion-translocating oxidoreductase complex subunit D	63
group_18872	hypothetical protein	63
iucA	hypothetical protein	63
pqiA	Intermembrane transport protein PqiA	63
group_18876	hypothetical protein	63
group_18877	hypothetical protein	63
group_18879	hypothetical protein	63
lrp_4	Leucine-responsive regulatory protein	63
group_18881	hypothetical protein	63
group_18882	hypothetical protein	63
brnQ_2	Branched-chain amino acid transport system 2 carrier protein	63
trpE	Anthranilate synthase component 1	63
group_18888	hypothetical protein	63
fliG_2	Flagellar motor switch protein FliG	63
group_18894	hypothetical protein	63
group_18895	hypothetical protein	63
aas_2	hypothetical protein	63
flaD_3	Flagellin D	63
fdnI	hypothetical protein	63
group_18899	hypothetical protein	63
group_18901	hypothetical protein	63
group_18902	hypothetical protein	63
gppA	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	63
yieH	6-phosphogluconate phosphatase	63
group_18905	hypothetical protein	63
aroC	Chorismate synthase	63
group_18907	hypothetical protein	63
fpr	Flavodoxin/ferredoxin--NADP reductase	63
group_18909	putative protein	63
group_18914	hypothetical protein	63
group_18916	hypothetical protein	63
cyoA	Cytochrome bo(3) ubiquinol oxidase subunit 2	63
group_18918	hypothetical protein	63
group_18919	hypothetical protein	63
group_18920	hypothetical protein	63
group_18921	hypothetical protein	63
group_18922	hypothetical protein	63
group_18923	hypothetical protein	63
group_18924	hypothetical protein	63
group_18925	hypothetical protein	63
lapB	Lipopolysaccharide assembly protein B	63
group_18928	hypothetical protein	63
group_18929	hypothetical protein	63
aroA	3-phosphoshikimate 1-carboxyvinyltransferase	63
sdcS_2	hypothetical protein	63
group_18932	hypothetical protein	63
group_18933	hypothetical protein	63
group_18937	hypothetical protein	63
lrp_5	Leucine-responsive regulatory protein	63
bhuA	Heme transporter BhuA	63
fabH2	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2	63
group_18944	Carboxynorspermidine synthase	63
gluQ	Glutamyl-Q tRNA(Asp) synthetase	63
ilvC	Ketol-acid reductoisomerase (NADP( ))	63
cysQ	3'(2'),5'-bisphosphate nucleotidase CysQ	63
lapA	Lipopolysaccharide assembly protein A	63
group_18951	hypothetical protein	63
mdtA_2	Multidrug resistance protein MdtA	63
ttgD	Multidrug resistance protein MdtA	63
group_18954	putative protein	63
hmp	Flavohemoprotein	63
ypeA_1	hypothetical protein	63
oxyR_1	Hydrogen peroxide-inducible genes activator	63
group_18962	hypothetical protein	63
yaeQ	putative protein YaeQ	63
deaD	ATP-dependent RNA helicase DeaD	63
lpp	Major outer membrane prolipoprotein Lpp	63
flaD_4	Flagellin D	63
psiE	hypothetical protein	63
ftsQ	Cell division protein FtsQ	63
group_18971	hypothetical protein	63
hflC	Modulator of FtsH protease HflC	63
ftsE	Cell division ATP-binding protein FtsE	63
rbgA	Ribosome biogenesis GTPase A	63
metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	63
ynjB	Protein YnjB	63
pstA	hypothetical protein	63
damX_1	Cell division protein DamX	63
rfaH	Transcription antitermination protein RfaH	63
group_18982	hypothetical protein	63
garR	2-hydroxy-3-oxopropionate reductase	63
group_18984	hypothetical protein	63
leuB	3-isopropylmalate dehydrogenase	63
gltX	Glutamate--tRNA ligase	63
group_18989	hypothetical protein	63
hmp_1	Flavohemoprotein	63
speG	Spermidine N(1)-acetyltransferase	63
group_18991	hypothetical protein	63
group_18992	hypothetical protein	63
recX	Regulatory protein RecX	63
group_18994	hypothetical protein	63
group_18996	hypothetical protein	63
fadM	hypothetical protein	63
tatA	Sec-independent protein translocase protein TatA	63
group_18999	hypothetical protein	63
yceD	Large ribosomal RNA subunit accumulation protein YceD	63
group_19002	hypothetical protein	63
fur	Ferric uptake regulation protein	63
luxS	S-ribosylhomocysteine lyase	63
group_19006	hypothetical protein	63
group_19008	hypothetical protein	63
group_19010	hypothetical protein	63
group_19011	hypothetical protein	63
dnaQ	DNA polymerase III subunit epsilon	63
mdtA_1	Multidrug resistance protein MdtA	63
mcpP_2	Methyl-accepting chemotaxis protein McpP	63
group_19015	hypothetical protein	63
galE_1	UDP-glucose 4-epimerase	63
ynaI	Low conductance mechanosensitive channel YnaI	63
rpoE_1	ECF RNA polymerase sigma factor RpoE	63
budC	hypothetical protein	63
nadE	NH(3)-dependent NAD( ) synthetase	63
glpE_1	Thiosulfate sulfurtransferase GlpE	63
group_19023	hypothetical protein	63
apaH	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	63
rnb	Exoribonuclease 2	63
tolQ_1	Tol-Pal system protein TolQ	63
group_19027	hypothetical protein	63
glrR	C4-dicarboxylate transport transcriptional regulatory protein DctD	63
artM	Arginine ABC transporter permease protein ArtM	63
acpP_2	Acyl carrier protein	63
group_19034	hypothetical protein	63
group_19036	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase	63
pal_1	Peptidoglycan-associated lipoprotein	63
grxA	Glutaredoxin 1	63
cyoB	Cytochrome bo(3) ubiquinol oxidase subunit 1	63
group_19040	hypothetical protein	63
cpoB	Cell division coordinator CpoB	63
pdeC	putative cyclic di-GMP phosphodiesterase PdeC	63
group_19044	hypothetical protein	63
group_19045	hypothetical protein	63
hslU	ATP-dependent protease ATPase subunit HslU	63
atoS_1	Adaptive-response sensory-kinase SasA	63
yfgJ	hypothetical protein	63
engB	putative GTP-binding protein EngB	63
group_19057	hypothetical protein	63
treR	HTH-type transcriptional regulator TreR	63
dtd	D-aminoacyl-tRNA deacylase	63
group_19060	hypothetical protein	63
tyrP_2	Tyrosine-specific transport protein	63
eda_1	Putative KHG/KDPG aldolase	63
smrA	putative DNA endonuclease SmrA	63
ptsG_1	PTS system glucose-specific EIICB component	63
group_19067	putative protein	63
zntA	Zinc/cadmium/lead-transporting P-type ATPase	63
group_19069	hypothetical protein	63
group_19072	hypothetical protein	63
uppP	Undecaprenyl-diphosphatase	63
group_19074	hypothetical protein	63
fruA_2	PTS system fructose-specific EIIB'BC component	63
trxC	Thioredoxin 2	63
pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase	63
group_19079	hypothetical protein	63
group_19080	hypothetical protein	63
mnmC_1	hypothetical protein	63
group_19082	hypothetical protein	63
group_19083	hypothetical protein	63
group_19084	26 kDa periplasmic immunogenic protein	63
group_19086	hypothetical protein	63
cnoX	Chaperedoxin	63
sopB	hypothetical protein	63
ybhK	Putative gluconeogenesis factor	63
ilvA	L-threonine dehydratase biosynthetic IlvA	63
fldA	Flavodoxin	63
cntO_1	Metal-pseudopaline receptor CntO	63
group_19094	hypothetical protein	63
ycbB	putative L,D-transpeptidase YcbB	63
yhdE	dTTP/UTP pyrophosphatase	63
yigL	Pyridoxal phosphate phosphatase YigL	63
evgA	DNA-binding transcriptional activator EvgA	63
hlyU	Transcriptional activator HlyU	63
acpP_1	Acyl carrier protein	63
oxyR_3	Hydrogen peroxide-inducible genes activator	63
apbC	Iron-sulfur cluster carrier protein	63
