Gene	Annotation_F	Isolates_F
ubiJ_2	Ubiquinone biosynthesis accessory factor UbiJ	56
group_4033	hypothetical protein	56
yhbU	putative protease YhbU	56
group_4039	hypothetical protein	56
group_4047	hypothetical protein	56
asd1	Aspartate-semialdehyde dehydrogenase 1	56
rlmJ	Ribosomal RNA large subunit methyltransferase J	56
tenA	Aminopyrimidine aminohydrolase	56
rsd	Regulator of sigma D	56
group_4078	NAD 5'-nucleotidase	56
ubiE	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	56
gsk_1	Inosine-guanosine kinase	56
group_4101	hypothetical protein	56
group_4105	hypothetical protein	56
thiC	Phosphomethylpyrimidine synthase	56
yggP	Mannitol-1-phosphate 5-dehydrogenase	56
glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	56
group_4121	hypothetical protein	56
group_4127	hypothetical protein	56
xerC_4	Tyrosine recombinase XerC	56
ydhC_2	Inner membrane transport protein YdhC	56
group_4151	hypothetical protein	56
mrdB_1	Peptidoglycan glycosyltransferase MrdB	56
tesB	Acyl-CoA thioesterase 2	56
atpG	ATP synthase gamma chain	56
group_4176	hypothetical protein	56
group_4183	Putative pseudouridine methyltransferase	56
adhB	Alcohol dehydrogenase 2	56
bioB	Biotin synthase	56
dapB	4-hydroxy-tetrahydrodipicolinate reductase	56
hemG	Protoporphyrinogen IX dehydrogenase [menaquinone]	56
motB	Motility protein B	56
group_5220	hypothetical protein	56
group_5244	hypothetical protein	56
group_5247	hypothetical protein	56
group_5251	hypothetical protein	56
group_5252	hypothetical protein	56
proQ	RNA chaperone ProQ	56
mutS2	Endonuclease MutS2	56
oppD_5	Oligopeptide transport ATP-binding protein OppD	56
yhbY	RNA-binding protein YhbY	56
potB	Spermidine/putrescine transport system permease protein PotB	56
fdhB1	Formate dehydrogenase iron-sulfur subunit	56
oah1	O-acetyl-L-homoserine sulfhydrylase 1	56
group_5425	hypothetical protein	56
sucB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	56
group_5438	hypothetical protein	56
group_5461	3-oxoacyl-[acyl-carrier-protein] reductase FabG	56
rpsB	30S ribosomal protein S2	56
ispU	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	56
spaP	Surface presentation of antigens protein SpaP	56
rpoE_2	ECF RNA polymerase sigma-E factor	56
ygdG	Flap endonuclease Xni	56
cmk	Cytidylate kinase	56
oppD_3	Oligopeptide transport ATP-binding protein OppD	56
group_5561	hypothetical protein	56
group_5589	hypothetical protein	56
infC	Translation initiation factor IF-3	56
rpmI	50S ribosomal protein L35	56
group_5635	hypothetical protein	56
purD	Phosphoribosylamine--glycine ligase	56
rplF	50S ribosomal protein L6	56
group_5740	hypothetical protein	56
htpX_2	Protease HtpX	56
rplA	50S ribosomal protein L1	56
nusG	Transcription termination/antitermination protein NusG	56
group_5787	hypothetical protein	56
gmhA	Phosphoheptose isomerase	56
yhjX_1	L-lactate transporter	56
pgk	Phosphoglycerate kinase	56
epd	D-erythrose-4-phosphate dehydrogenase	56
glnL	Sensory histidine kinase/phosphatase NtrB	56
group_5952	hypothetical protein	56
yacG	DNA gyrase inhibitor YacG	56
ybeZ	PhoH-like protein	56
ilvM	Acetolactate synthase isozyme 2 small subunit	56
recO	DNA repair protein RecO	56
ilvD	Dihydroxy-acid dehydratase	56
hutX	Intracellular heme transport protein HutX	56
